Time,Ticker,Order,T,Shares,Price,MPID,X
34269775,IBM,7571986,B,200,1804200,,Q
34269821,IBM,7569183,D,0,0,,Q
34269825,IBM,7572843,S,200,1807300,,Q
34269825,IBM,7571627,D,0,0,,Q
34269831,IBM,7572979,S,15,1805200,,Q
34269932,IBM,7530349,F,0,0,,Q
34269932,IBM,7575511,S,100,1804600,,Q
34269932,IBM,7575512,S,100,1806100,,Q
34269933,IBM,7571986,F,0,0,,Q
34269933,IBM,0,T,2,1804200,,Q
34269946,IBM,0,T,30,1804300,,Q
34269946,IBM,0,T,70,1804500,,Q
34270008,IBM,7572979,D,0,0,,Q
34270011,IBM,7576907,S,15,1806600,,Q
34270016,IBM,7577088,B,200,1803700,,Q
34270016,IBM,7577089,B,200,1803300,,Q
34270082,IBM,7575511,D,0,0,,Q
34270082,IBM,7575512,D,0,0,,Q
34270085,IBM,7576907,D,0,0,,Q
34270089,IBM,7579813,S,15,1804600,,Q
34270090,IBM,7579813,F,0,0,,Q
34270373,IBM,0,T,100,1804200,,Q
34270373,IBM,0,T,70,1804200,,Q
34270373,IBM,7577088,E,30,0,,Q
34270602,IBM,7577089,D,0,0,,Q
34270657,IBM,0,T,47,1803900,,Q
